Rank,Title,Artist,Year,Width,Height,Megapixels,HighResUrl,WikiArtUrl,LocalFileName,FileSizeBytes
36,The Eiffel Tower,Georges Seurat,1889,2042,3200,6.53,https://uploads8.wikiart.org/00475/images/georges-seurat/eiffel-tower-c-1889.jpeg,https://www.wikiart.org/en/georges-seurat/the-eiffel-tower-1889,036_Georges_Seurat_-_The_Eiffel_Tower_2042x3200.jpeg,1427636
38,The Great Wave off Kanagawa,Katsushika Hokusai,1831,4999,3421,17.1,https://uploads1.wikiart.org/00142/images/57726d84edc2cb3880b48c21/great-wave-off-kanagawa2.jpg,https://www.wikiart.org/en/katsushika-hokusai/the-great-wave-of-kanagawa-1831,038_Katsushika_Hokusai_-_The_Great_Wave_off_Kanagawa_4999x3421.jpg,4502392
42,Liberty Leading the People,Eugene Delacroix,1830,5946,4771,28.37,https://uploads6.wikiart.org/00129/images/eugene-delacroix/the-liberty-leading-the-people.jpg,https://www.wikiart.org/en/eugene-delacroix/the-liberty-leading-the-people-1830,042_Eugene_Delacroix_-_Liberty_Leading_the_People_5946x4771.jpg,7623124
47,"In Bed, The Kiss",Henri de Toulouse-Lautrec,1892,1094,815,0.89,https://uploads7.wikiart.org/images/henri-de-toulouse-lautrec/in-bed-the-kiss-1892.jpg,https://www.wikiart.org/en/henri-de-toulouse-lautrec/in-bed-the-kiss-1892,"047_Henri_de_Toulouse-Lautrec_-_In_Bed,_The_Kiss_1094x815.jpg",248232
49,The Lady with an Ermine (Cecilia Gallerani),Leonardo da Vinci,1489-1490,3543,4876,17.28,https://uploads1.wikiart.org/00180/images/leonardo-da-vinci/dama-z-gronostajem.jpg,https://www.wikiart.org/en/leonardo-da-vinci/the-lady-with-the-ermine-cecilia-gallerani-1496,049_Leonardo_da_Vinci_-_The_Lady_with_an_Ermine_(Cecilia_Ga_3543x4876.jpg,3497427
51,The Last Supper,Leonardo da Vinci,1495,5193,2926,15.19,https://uploads3.wikiart.org/00178/images/leonardo-da-vinci/ltima-cena-da-vinci-5.jpg,https://www.wikiart.org/en/leonardo-da-vinci/the-last-supper-1495,051_Leonardo_da_Vinci_-_The_Last_Supper_5193x2926.jpg,9242484
52,Paradise Lost,Gustave Dore,XIX cent.,979,1210,1.18,https://uploads7.wikiart.org/images/gustave-dore/paradise-lost-3.jpg,https://www.wikiart.org/en/gustave-dore/paradise-lost-3,052_Gustave_Dore_-_Paradise_Lost_979x1210.jpg,274137
53,Camille Monet and a Child in the Artist’s Garden in Argenteuil,Claude Monet,1875,3060,2586,7.91,https://uploads8.wikiart.org/images/claude-monet/madame-monet-and-child(1).jpg,https://www.wikiart.org/en/claude-monet/madame-monet-and-child,053_Claude_Monet_-_Camille_Monet_and_a_Child_in_the_Ar_3060x2586.jpg,4166741
54,The Wheat Sifters,Gustave Courbet,1854-1855,2024,1588,3.21,https://uploads7.wikiart.org/images/gustave-courbet/the-winnowers-1855(1).jpg,https://www.wikiart.org/en/gustave-courbet/the-wheat-sifters-1855-1,054_Gustave_Courbet_-_The_Wheat_Sifters_2024x1588.jpg,377402
55,Portrait of Adele Bloch-Bauer I,Gustav Klimt,1907,1838,1838,3.38,https://uploads8.wikiart.org/images/gustav-klimt/portrait-of-adele-bloch-bauer-i(1).jpg,https://www.wikiart.org/en/gustav-klimt/portrait-of-adele-bloch-bauer-i-1907-1,055_Gustav_Klimt_-_Portrait_of_Adele_Bloch-Bauer_I_1838x1838.jpg,1428690
