CuratedIndex,Artist,Title,Year,Museum,Width,Height,Megapixels,FileSizeBytes,FileSizeMB,FileName,SourcePath
23,Caravaggio,The Martyrdom of Saint Matthew,1599–1600,"San Luigi dei Francesi, Rome",5000,4392,21.96,7671233,7.32,23_Caravaggio_-_The_Martyrdom_of_Saint_Matthew.jpg,artist_paintings/Caravaggio/0030_The_Martyrdom_of_Saint_Matthew_5000x4392.jpg
24,Caravaggio,Judith Beheading Holofernes,1598–1599,"Gallerie Nazionali d'Arte Antica, Rome",1444,1200,1.73,450977,0.43,24_Caravaggio_-_Judith_Beheading_Holofernes.jpg,artist_paintings/Caravaggio/0081_Judith_Beheading_Holofernes_1444x1200.jpg
25,Caravaggio,Bacchus,1595,"Uffizi Gallery, Florence",2311,3009,6.95,2221628,2.12,25_Caravaggio_-_Bacchus.jpg,artist_paintings/Caravaggio/0003_Young_Sick_Bacchus_2311x3009.jpg
26,Caravaggio,David with the Head of Goliath,1609–1610,"Borghese Gallery, Rome",2362,2664,6.29,7293726,6.96,26_Caravaggio_-_David_with_the_Head_of_Goliath.jpg,artist_paintings/Caravaggio/0024_David_and_Goliath_2362x2664.jpg
27,Rembrandt,The Night Watch,1642,"Rijksmuseum, Amsterdam",1259,1024,1.29,230778,0.22,27_Rembrandt_-_The_Night_Watch.jpg,artist_paintings/Rembrandt/0423_The_Nightwatch_1259x1024.jpg
28,Rembrandt,The Anatomy Lesson of Dr. Nicolaes Tulp,1632,"Mauritshuis, The Hague",2351,1774,4.17,941985,0.9,28_Rembrandt_-_The_Anatomy_Lesson_of_Dr._Nicolaes.jpg,artist_paintings/Rembrandt/0169_The_Anatomy_Lesson_of_Dr._Nicolaes_Tulp_2351x1774.jpg
29,Rembrandt,The Storm on the Sea of Galilee,1633,"Isabella Stewart Gardner Museum, Boston",1930,2400,4.63,2220536,2.12,29_Rembrandt_-_The_Storm_on_the_Sea_of_Galilee.jpg,paintings_output/021_Rembrandt_-_The_Storm_on_the_Sea_of_Galilee_1930x2400.jpg
30,Rembrandt,Self-Portrait at the Age of 63,1669,"National Gallery, London",3415,4224,14.42,3760367,3.59,30_Rembrandt_-_Self-Portrait_at_the_Age_of_63.jpg,artist_paintings/Rembrandt/0740_Self-portrait_in_at_the_Age_of_63_3415x4224.jpg
31,Rembrandt,Self-Portrait at the Age of 34,1640,"National Gallery, London",3268,4045,13.22,4222317,4.03,31_Rembrandt_-_Self-Portrait_at_the_Age_of_34.jpg,artist_paintings/Rembrandt/0378_Self-portrait_at_the_Age_of_34_3268x4045.jpg
32,Rembrandt,Portrait of Saskia van Uylenburgh,1635,"National Gallery of Art, Washington D.C.",2389,3051,7.29,2464476,2.35,32_Rembrandt_-_Portrait_of_Saskia_van_Uylenburgh.jpg,artist_paintings/Rembrandt/0240_Portrait_of_Saskia_van_Uylenburgh_2389x3051.jpg
33,Rembrandt,Self-Portrait in Studio Attire,1655,"Kunsthistorisches Museum, Vienna",600,917,0.55,758505,0.72,33_Rembrandt_-_Self-Portrait_in_Studio_Attire.jpg,artist_paintings/Rembrandt/0613_Self-portrait_in_studio_attire_600x917.jpg
34,Johannes Vermeer,Girl with a Pearl Earring,1665,"Mauritshuis, The Hague",4095,4794,19.63,6229244,5.94,34_Johannes_Vermeer_-_Girl_with_a_Pearl_Earring.jpg,paintings_output/019_Johannes_Vermeer_-_The_Girl_with_a_Pearl_Earring_4095x4794.jpg
35,Johannes Vermeer,The Milkmaid,1657–1658,"Rijksmuseum, Amsterdam",4000,4485,17.94,11222708,10.7,35_Johannes_Vermeer_-_The_Milkmaid.jpg,artist_paintings/Johannes_Vermeer/0012_The_Milkmaid_4000x4485.jpg
36,Johannes Vermeer,The Art of Painting,1666–1668,"Kunsthistorisches Museum, Vienna",6209,7377,45.8,7834640,7.47,36_Johannes_Vermeer_-_The_Art_of_Painting.jpg,artist_paintings/Johannes_Vermeer/0029_The_Art_of_Painting_6209x7377.jpg
37,Johannes Vermeer,The Astronomer,1668,"Musée du Louvre, Paris",786,900,0.71,168312,0.16,37_Johannes_Vermeer_-_The_Astronomer.jpg,artist_paintings/Johannes_Vermeer/0030_The_astronomer_786x900.jpg
38,Johannes Vermeer,Young Woman with a Pearl Necklace,1662–1664,"Gemäldegalerie, Berlin",4500,5236,23.56,10549098,10.06,38_Johannes_Vermeer_-_Young_Woman_with_a_Pearl_Necklace.jpg,artist_paintings/Johannes_Vermeer/0015_Young_Woman_with_a_Pearl_Necklace_4500x5236.jpg
39,Claude Monet,"Impression, Sunrise",1872,"Musée Marmottan Monet, Paris",5773,4478,25.85,7105965,6.78,"39_Claude_Monet_-_Impression,_Sunrise.jpg","paintings_output/006_Claude_Monet_-_Impression,_sunrise_5773x4478.jpg"
40,Claude Monet,Water Lilies (The Clouds),1903,"Musée de l'Orangerie, Paris",1497,1200,1.8,1889972,1.8,40_Claude_Monet_-_Water_Lilies_(The_Clouds).jpg,artist_paintings/Claude_Monet/1166_Water_Lilies_1497x1200.jpg
41,Claude Monet,The Japanese Bridge (Water-Lily Pond),1899,"National Gallery of Art, Washington D.C.",2000,1923,3.85,2978688,2.84,41_Claude_Monet_-_The_Japanese_Bridge_(Water-Lily_Pon.jpg,artist_paintings/Claude_Monet/1061_The_Japanese_Bridge_(The_Water-Lily_Pond_2000x1923.jpg
42,Claude Monet,Camille Monet and a Child in the Garden,1875,"Museum of Fine Arts, Boston",3060,2586,7.91,4166741,3.97,42_Claude_Monet_-_Camille_Monet_and_a_Child_in_the_Ga.jpg,paintings_output/053_Claude_Monet_-_Camille_Monet_and_a_Child_in_the_Ar_3060x2586.jpg
43,Claude Monet,Women in the Garden,1866,"Musée d'Orsay, Paris",1136,1448,1.64,464701,0.44,43_Claude_Monet_-_Women_in_the_Garden.jpg,paintings_output/032_Claude_Monet_-_Women_in_the_garden_1136x1448.jpg
44,Claude Monet,"Waterloo Bridge, Sunlight Effect",1903,Art Institute of Chicago,1513,1200,1.82,479337,0.46,"44_Claude_Monet_-_Waterloo_Bridge,_Sunlight_Effect.jpg","artist_paintings/Claude_Monet/1140_Waterloo_Bridge,_Sunlight_Effect_1513x1200.jpg"
45,Claude Monet,The Water Lily Pond and Bridge,1900,Princeton University Art Museum,563,480,0.27,85892,0.08,45_Claude_Monet_-_The_Water_Lily_Pond_and_Bridge.jpg,artist_paintings/Claude_Monet/1160_The_Water_Lily_Pond_and_Bridge_563x480.jpg
46,Vincent van Gogh,The Starry Night,1889,"Museum of Modern Art, New York",5000,3959,19.8,9150166,8.73,46_Vincent_van_Gogh_-_The_Starry_Night.jpg,paintings_output/003_Vincent_van_Gogh_-_The_Starry_Night_5000x3959.jpg
47,Vincent van Gogh,Still Life: Vase with Fifteen Sunflowers,1888,"National Gallery, London",3748,2624,9.83,5583923,5.33,47_Vincent_van_Gogh_-_Still_Life_Vase_with_Fifteen_Sunflo.jpg,artist_paintings/Vincent_van_Gogh/1133_Still_Life_with_Two_Sunflowers_3748x2624.jpg
48,Vincent van Gogh,The Potato Eaters,1885,"Van Gogh Museum, Amsterdam",3543,2517,8.92,1521210,1.45,48_Vincent_van_Gogh_-_The_Potato_Eaters.jpg,paintings_output/069_Vincent_van_Gogh_-_The_Potato_Eaters_3543x2517.jpg
49,Vincent van Gogh,Peasant Woman Lifting Potatoes,1885,"Van Gogh Museum, Amsterdam",2197,2708,5.95,1786777,1.7,49_Vincent_van_Gogh_-_Peasant_Woman_Lifting_Potatoes.jpg,artist_paintings/Vincent_van_Gogh/0680_Peasant_Woman_Lifting_Potatoes_2197x2708.jpg
50,Vincent van Gogh,Still Life with Three Birds' Nests,1885,Kröller-Müller Museum,991,749,0.74,840334,0.8,50_Vincent_van_Gogh_-_Still_Life_with_Three_Birds'_Nests.jpg,artist_paintings/Vincent_van_Gogh/0770_Still_Life_with_Three_Birds_Nests_991x749.jpg
51,Vincent van Gogh,Portrait of a Woman with a Red Ribbon,1885,"Van Gogh Museum, Amsterdam",2215,2720,6.02,1879264,1.79,51_Vincent_van_Gogh_-_Portrait_of_a_Woman_with_a_Red_Ribb.jpg,artist_paintings/Vincent_van_Gogh/0740_Portrait_of_a_Woman_with_a_Red_Ribbon_2215x2720.jpg
52,Edvard Munch,The Scream,1893,"National Gallery of Norway, Oslo",3000,3822,11.47,4219156,4.02,52_Edvard_Munch_-_The_Scream.jpg,paintings_output/009_Edvard_Munch_-_The_Scream_3000x3822.jpg
53,Edvard Munch,Madonna,1894,"Munch Museum, Oslo",771,1054,0.81,197831,0.19,53_Edvard_Munch_-_Madonna.jpg,artist_paintings/Edvard_Munch/0047_Madonna_771x1054.jpg
55,Edvard Munch,The Sick Child,1907,"Tate Modern, London",1698,1198,2.03,476503,0.45,55_Edvard_Munch_-_The_Sick_Child.jpg,artist_paintings/Edvard_Munch/0069_The_Sick_Child_II_1698x1198.jpg
56,Edvard Munch,Eye in Eye,1894,"Munch Museum, Oslo",1549,1932,2.99,414807,0.4,56_Edvard_Munch_-_Eye_in_Eye.jpg,artist_paintings/Edvard_Munch/0045_Eye_in_Eye_1549x1932.jpg
57,Gustav Klimt,The Kiss,1907–1908,"Österreichische Galerie Belvedere, Vienna",5000,5017,25.09,11877975,11.33,57_Gustav_Klimt_-_The_Kiss.jpg,paintings_output/008_Gustav_Klimt_-_The_Kiss_5000x5017.jpg
58,Gustav Klimt,Portrait of Adele Bloch-Bauer I,1907,"Neue Galerie, New York",1838,1838,3.38,1428690,1.36,58_Gustav_Klimt_-_Portrait_of_Adele_Bloch-Bauer_I.jpg,paintings_output/055_Gustav_Klimt_-_Portrait_of_Adele_Bloch-Bauer_I_1838x1838.jpg
59,Gustav Klimt,Judith and the Head of Holofernes,1901,"Österreichische Galerie Belvedere, Vienna",1666,3392,5.65,1632934,1.56,59_Gustav_Klimt_-_Judith_and_the_Head_of_Holofernes.jpg,artist_paintings/Gustav_Klimt/0064_Judith_and_the_Head_of_Holofernes_1666x3392.jpg
60,Gustav Klimt,Portrait of Emilie Flöge,1902,"Wien Museum, Vienna",1291,3000,3.87,3275626,3.12,60_Gustav_Klimt_-_Portrait_of_Emilie_Flöge.jpg,artist_paintings/Gustav_Klimt/0075_Portrait_of_Emilie_Flöge_1291x3000.jpg
61,Gustav Klimt,The Dancer,1916–1918,"Neue Galerie, New York",2024,4323,8.75,1851441,1.77,61_Gustav_Klimt_-_The_Dancer.jpg,artist_paintings/Gustav_Klimt/0169_The_dancer_2024x4323.jpg
