"Index","Artist","ArtistSlug","Title","Year","Width","Height","Megapixels","HighResUrl","LocalFileName","FileSizeBytes"
"29","Edvard Munch","edvard-munch","Self-Portrait Beneath Woman's Mask","1892","378","600","0.23","https://uploads5.wikiart.org/images/edvard-munch/self-portrait-beneath-woman-s-mask-1892.jpg","0029_Self-Portrait_Beneath_Woman's_Mask_378x600.jpg","40703"
"30","Edvard Munch","edvard-munch","The Mystery of a Summer Night","1892","1664","1187","1.98","https://uploads0.wikiart.org/images/edvard-munch/the-mystery-of-a-summer-night-1892.jpg","0030_The_Mystery_of_a_Summer_Night_1664x1187.jpg","404444"
"31","Edvard Munch","edvard-munch","The Painter Jacob Bratland","1892","1071","1626","1.74","https://uploads6.wikiart.org/images/edvard-munch/the-painter-jacob-bratland-1892.jpg","0031_The_Painter_Jacob_Bratland_1071x1626.jpg","383091"
"32","Edvard Munch","edvard-munch","By the Deathbed (Fever)","1893","800","591","0.47","https://uploads1.wikiart.org/images/edvard-munch/by-the-deathbed-fever-1893.jpg","0032_By_the_Deathbed_(Fever)_800x591.jpg","83782"
"33","Edvard Munch","edvard-munch","Dagny Juel Przybyszewska","1893","1219","1833","2.23","https://uploads4.wikiart.org/images/edvard-munch/dagny-juel-przybyszewska-1893.jpg","0033_Dagny_Juel_Przybyszewska_1219x1833.jpg","387841"
"34","Edvard Munch","edvard-munch","Death in the sickroom","1893","1717","1561","2.68","https://uploads1.wikiart.org/images/edvard-munch/death-in-the-sickroom-1893.jpg","0034_Death_in_the_sickroom_1717x1561.jpg","537071"
"35","Edvard Munch","edvard-munch","Moonlight","1893","767","800","0.61","https://uploads7.wikiart.org/images/edvard-munch/moonlight-1893.jpg","0035_Moonlight_767x800.jpg","95685"
"36","Edvard Munch","edvard-munch","The Hands","1893","1070","1241","1.33","https://uploads7.wikiart.org/images/edvard-munch/the-hands-1893.jpg","0036_The_Hands_1070x1241.jpg","341432"
"37","Edvard Munch","edvard-munch","The Scream","1893","1611","2000","3.22","https://uploads2.wikiart.org/images/edvard-munch/the-scream-1893(2).jpg","0037_The_Scream_1611x2000.jpg","650104"
"38","Edvard Munch","edvard-munch","The Storm","1893","600","412","0.25","https://uploads7.wikiart.org/images/edvard-munch/the-storm-1893.jpg","0038_The_Storm_600x412.jpg","46501"
"39","Edvard Munch","edvard-munch","The Voice","1893","800","656","0.52","https://uploads7.wikiart.org/images/edvard-munch/the-voice-1893.jpg","0039_The_Voice_800x656.jpg","98523"
"40","Edvard Munch","edvard-munch","Young Man and Prostitute","1893","1200","1236","1.48","https://uploads4.wikiart.org/images/edvard-munch/young-man-and-prostitute-1893.jpg","0040_Young_Man_and_Prostitute_1200x1236.jpg","271733"
"41","Edvard Munch","edvard-munch","The Scream","1893","768","1024","0.79","https://uploads1.wikiart.org/images/edvard-munch/the-scream-1893-1.jpg","0041_The_Scream_768x1024.jpg","255645"
"42","Edvard Munch","edvard-munch","Consolation","1894","1686","1254","2.11","https://uploads4.wikiart.org/00365/images/edvard-munch/3c238326-e414-7db6-6a87-52b891051a60.jpg","0042_Consolation_1686x1254.jpg","594458"
"43","Edvard Munch","edvard-munch","Anxiety","1894","615","800","0.49","https://uploads5.wikiart.org/images/edvard-munch/anxiety-1894.jpg","0043_Anxiety_615x800.jpg","115850"
"44","Edvard Munch","edvard-munch","Ashes","1894","3000","2560","7.68","https://uploads8.wikiart.org/00475/images/edvard-munch/ashes-1895-2.jpg","0044_Ashes_3000x2560.jpg","8471382"
"45","Edvard Munch","edvard-munch","Eye in Eye","1894","1549","1932","2.99","https://uploads8.wikiart.org/images/edvard-munch/eye-in-eye-1894.jpg","0045_Eye_in_Eye_1549x1932.jpg","414807"
"46","Edvard Munch","edvard-munch","Girl and Death","1894","411","555","0.23","https://uploads3.wikiart.org/images/edvard-munch/girl-and-death-1894.jpg","0046_Girl_and_Death_411x555.jpg","32151"
"47","Edvard Munch","edvard-munch","Madonna","1894","771","1054","0.81","https://uploads5.wikiart.org/images/edvard-munch/madonna-1894.jpg","0047_Madonna_771x1054.jpg","197831"
"48","Edvard Munch","edvard-munch","Puberty","1894","1512","2111","3.19","https://uploads5.wikiart.org/images/edvard-munch/puberty-1894.jpg","0048_Puberty_1512x2111.jpg","410611"
"49","Edvard Munch","edvard-munch","Rose and Amélie","1894","1642","1170","1.92","https://uploads4.wikiart.org/images/edvard-munch/rose-and-amélie-1894.jpg","0049_Rose_and_Amélie_1642x1170.jpg","317663"
"50","Edvard Munch","edvard-munch","Separation","1894","714","549","0.39","https://uploads8.wikiart.org/images/edvard-munch/separation-1894.jpg","0050_Separation_714x549.jpg","121573"
"51","Edvard Munch","edvard-munch","The Three Stages of Woman (Sphinx).","1894","800","517","0.41","https://uploads3.wikiart.org/images/edvard-munch/the-three-stages-of-woman-sphinx-1894.jpg","0051_The_Three_Stages_of_Woman_(Sphinx)_800x517.jpg","76995"
"52","Edvard Munch","edvard-munch","Jealousy","1895","800","529","0.42","https://uploads6.wikiart.org/images/edvard-munch/jealousy-1895.jpg","0052_Jealousy_800x529.jpg","92997"
"53","Edvard Munch","edvard-munch","Moon Light","1895","800","668","0.53","https://uploads8.wikiart.org/images/edvard-munch/moon-light-1895.jpg","0053_Moon_Light_800x668.jpg","119673"
"54","Edvard Munch","edvard-munch","Self-Portrait with Burning Cigarette","1895","606","800","0.48","https://uploads7.wikiart.org/images/edvard-munch/self-portrait-with-burning-cigarette-1895.jpg","0054_Self-Portrait_with_Burning_Cigarette_606x800.jpg","98760"
"55","Edvard Munch","edvard-munch","Stanislaw Przybyszewski","1895","1058","1313","1.39","https://uploads3.wikiart.org/images/edvard-munch/stanislaw-przybyszewski-1895.jpg","0055_Stanislaw_Przybyszewski_1058x1313.jpg","284326"
"56","Edvard Munch","edvard-munch","The Day After","1895","1687","1255","2.12","https://uploads2.wikiart.org/images/edvard-munch/the-day-after-1895.jpg","0056_The_Day_After_1687x1255.jpg","413068"
"57","Edvard Munch","edvard-munch","The Scream","1895","418","578","0.24","https://uploads1.wikiart.org/00338/images/edvard-munch/the-scream-1896-1-jpg-large.jpg","0057_The_Scream_418x578.jpg","134765"
"58","Edvard Munch","edvard-munch","The Women","1895","800","626","0.5","https://uploads7.wikiart.org/images/edvard-munch/the-women-1895.jpg","0058_The_Women_800x626.jpg","160236"
"59","Edvard Munch","edvard-munch","Vampire","1895","800","621","0.5","https://uploads5.wikiart.org/images/edvard-munch/vampire-1895.jpg","0059_Vampire_800x621.jpg","91543"
"60","Edvard Munch","edvard-munch","The Scream","1895","769","1024","0.79","https://uploads8.wikiart.org/images/edvard-munch/the-scream-1895.jpg","0060_The_Scream_769x1024.jpg","279011"
"61","Edvard Munch","edvard-munch","Separation","1896","900","677","0.61","https://uploads3.wikiart.org/00243/images/edvard-munch/separation.jpg","0061_Separation_900x677.jpg","168736"
"62","Edvard Munch","edvard-munch","The Lady from the sea","1896","1350","415","0.56","https://uploads3.wikiart.org/00138/images/edvard-munch/edvard-munch-the-mermaid-1896.jpg","0062_The_Lady_from_the_sea_1350x415.jpg","226412"
"63","Edvard Munch","edvard-munch","Lady from the sea","1896","1024","538","0.55","https://uploads4.wikiart.org/00138/images/edvard-munch/edvard-munch-lady-from-the-sea.jpg","0063_Lady_from_the_sea_1024x538.jpg","304498"
"64","Edvard Munch","edvard-munch","Ashes II","1896","800","618","0.49","https://uploads6.wikiart.org/images/edvard-munch/ashes-ii-1896.jpg","0064_Ashes_II_800x618.jpg","122056"
"65","Edvard Munch","edvard-munch","Nude","1896","667","800","0.53","https://uploads2.wikiart.org/images/edvard-munch/nude-1896.jpg","0065_Nude_667x800.jpg","105281"
